Borough Name,Job Type,Permit Type,Job-Permit,Job Number,BIN Number,Permit Filing Status (Raw),Permit Sequence Number Max Flag,Permit Filing Status,Permit Sub Type,Site License Class,Site Safety Manager Last Name,Site License Class,Permit Superintendent License Type,Permit Superintendent Last Name,Count Permits,Chute,Fence,Supported Scaffold,Sidewalk Shed,Sidewalk Shed/Linear Feet,Other Equipment Flag,EQ Other Description,Construction Material,Boiler Flag,Fire Alarm  Flag,Fuel Burning Flag,Fuel Storage Flag,Fire Suppression Flag,Mechanical Flag,Plumbing Flag,Standpipe Flag,Sprinkler Flag,Construction Equipment Flag,General Construction Flag,Other Flag,Curb Cut Flag,Antennae Flag,Landscape Flag,Builders Pvmt Plan Flag,Fire Protection Plan Flag,Marquee Flag,OT Description,Enlargement Flag (Yes/No),Facade Alteration,D_DATE,Estimated Job Cost
Manhattan,A2,EW,3. A2,122866522,1014995,I,Y,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/5/2016,13000
Brooklyn,A2,PL,3. A2,321460316,3022088,I,Y,Initial Permit,,,,,,,0,,,,,0,,,,,,,,,,X,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/5/2016,646000
Brooklyn,A2,EW,3. A2,321460316,3022088,I,N,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,X,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/5/2016,646000
Brooklyn,A2,EW,3. A2,321460316,3022088,R,Y,Renewed,OT,,,,,,0,,,,,0,,,,,,,,,,X,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/5/2016,646000
Brooklyn,A1,AL,2. A1,321389163,3177273,I,N,Initial Permit,,,,,SU,MAZZEI,0,,Y,,,0,,,WOOD,,,,,,,X,,,X,Y,X,,,,,,,GEN. CONSTR.,Yes,Y,10/5/2016,247073
Brooklyn,A1,AL,2. A1,321389163,3177273,R,Y,Renewed,,,,,SU,DELUCA,0,,Y,,,0,,,WOOD,,,,,,,X,,,X,Y,X,,,,,,,GEN. CONSTR.,Yes,Y,10/5/2016,247073
Brooklyn,A2,EW,3. A2,321460478,3321836,I,Y,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/5/2016,121331
Brooklyn,A2,EW,3. A2,321450023,3393008,R,Y,Renewed,OT,MM,MUSHTAQ,MM,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/5/2016,1518731
Brooklyn,A2,EW,3. A2,321450023,3393008,I,N,Initial Permit,OT,MM,MUSHTAQ,MM,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/5/2016,1518731
Queens,A2,EW,3. A2,421382382,4051479,I,Y,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE REPAIR,No,Y,10/5/2016,80000
Staten Island,A2,EW,3. A2,520274989,5047234,I,N,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,CONSTRUCTION,No,Y,10/5/2016,228125
Staten Island,A2,EW,3. A2,520274989,5047234,R,Y,Renewed,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,CONSTRUCTION,No,Y,10/5/2016,228125
Manhattan,A2,EW,3. A2,122887199,1017089,R,Y,Renewed,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,ARCH,No,Y,10/6/2016,486100
Manhattan,A2,EW,3. A2,122887199,1017089,I,N,Initial Permit,OT,MM,WAIVER,MM,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,ARCH,No,Y,10/6/2016,486100
Manhattan,A2,EW,3. A2,140560248,1031639,I,Y,Initial Permit,OT,MM,RIGG,MM,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/6/2016,50000
Manhattan,A2,EW,3. A2,122909399,1036904,I,Y,Initial Permit,OT,MM,QUICK,MM,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/6/2016,92500
Brooklyn,A2,EW,3. A2,321461690,3002008,I,Y,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/6/2016,52000
Brooklyn,A3,AL,4. A3,321451219,3018382,I,Y,Initial Permit,,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/6/2016,9900
Queens,A1,AL,2. A1,421385030,4166697,I,N,Initial Permit,,,,,SU,SAHI,0,,,,,0,,,,,,,,,,X,,,,Y,X,,,,,,,GEN. CONSTR.,Yes,Y,10/6/2016,160000
Queens,A1,AL,2. A1,421385030,4166697,R,Y,Renewed,,,,,SU,SAHI,0,,,,,0,,,,,,,,,,X,,,,Y,X,,,,,,,GEN. CONSTR.,Yes,Y,10/6/2016,160000
Manhattan,A2,EQ,3. A2,140558714,1003080,I,Y,Initial Permit,FN,,,,,,0,,Y,,,0,,,PLYOWOOD,,,,,,,,,,X,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/7/2016,50000
Manhattan,A2,EW,3. A2,140558714,1003080,R,Y,Renewed,OT,,,,,,0,,Y,,,0,,,PLYOWOOD,,,,,,,,,,X,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/7/2016,50000
Manhattan,A2,EW,3. A2,140558714,1003080,I,N,Initial Permit,OT,,,,,,0,,Y,,,0,,,PLYOWOOD,,,,,,,,,,X,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/7/2016,50000
Manhattan,A1,AL,2. A1,122906356,1031588,I,N,Initial Permit,,,,,SU,HUSSAIN,0,,,,,0,,,,,,,,,,,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/7/2016,880000
Manhattan,A1,AL,2. A1,122906356,1031588,R,Y,Renewed,,,,,SU,BORG,0,,,,,0,,,,,,,,,,,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/7/2016,880000
Manhattan,A2,EW,3. A2,122913008,1058377,R,Y,Renewed,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE: MASONRY,No,Y,10/7/2016,100000
Manhattan,A2,EW,3. A2,122913008,1058377,I,N,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE: MASONRY,No,Y,10/7/2016,100000
Brooklyn,A1,AL,2. A1,321457080,3059365,R,Y,Renewed,,,,,SU,ATTANASIA,0,,Y,,,0,,,PLYWOOD,,,,,,X,X,,,X,Y,X,,,,,,,GEN. CONSTR.,Yes,Y,10/7/2016,957680
Brooklyn,A1,AL,2. A1,321457080,3059365,I,N,Initial Permit,,,,,SU,OTT,0,,Y,,,0,,,PLYWOOD,,,,,,X,X,,,X,Y,X,,,,,,,GEN. CONSTR.,Yes,Y,10/7/2016,957680
Queens,A2,EW,3. A2,421385147,4081426,I,Y,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,X,X,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/7/2016,199150
Queens,A2,EW,3. A2,421385147,4081426,I,Y,Initial Permit,MH,,,,,,0,,,,,0,,,,,,,,,X,X,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/7/2016,199150
Queens,A2,PL,3. A2,421385147,4081426,I,Y,Initial Permit,,,,,,,0,,,,,0,,,,,,,,,X,X,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/7/2016,199150
Queens,A2,EW,3. A2,421383336,4298263,R,Y,eRenewed,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/7/2016,198000
Queens,A2,EW,3. A2,421383336,4298263,I,N,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/7/2016,198000
Manhattan,A2,EW,3. A2,140561363,1010360,I,N,Initial Permit,OT,MC,WILSON,MC,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,BRACING,No,Y,10/10/2016,200000
Manhattan,A2,EW,3. A2,140561363,1010360,R,N,Renewed,OT,MM,QUICK,MM,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,BRACING,No,Y,10/10/2016,200000
Manhattan,A2,EW,3. A2,140561363,1010360,R,Y,Renewed,OT,MM,KAISER,MM,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,BRACING,No,Y,10/10/2016,200000
Manhattan,A2,EW,3. A2,140561354,1010361,I,N,Initial Permit,OT,MC,WILSON,MC,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,BRACING,No,Y,10/10/2016,200000
Manhattan,A2,EW,3. A2,140561354,1010361,R,N,Renewed,OT,MM,QUICK,MM,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,BRACING,No,Y,10/10/2016,200000
Manhattan,A2,EW,3. A2,140561354,1010361,R,Y,Renewed,OT,MM,KAISER,MM,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,BRACING,No,Y,10/10/2016,200000
Manhattan,A1,AL,2. A1,121191156,1003080,I,Y,Initial Permit,,,,,,,0,,Y,,,0,,,PLYWOOD,,,,,,X,X,,,X,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/11/2016,50000
Manhattan,A2,EW,3. A2,122912900,1009617,I,Y,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/11/2016,675000
Manhattan,A2,EW,3. A2,122771018,1032131,I,Y,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/11/2016,73900
Manhattan,A2,EW,3. A2,122771036,1057197,I,Y,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/11/2016,41500
Manhattan,A2,EW,3. A2,122837369,1078638,I,Y,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/11/2016,5800
Brooklyn,A1,AL,2. A1,321463082,3061588,I,Y,Initial Permit,,,,,,,0,,Y,,,0,,,WOOD,,,,,,X,X,,,X,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/11/2016,455755
Queens,A2,EW,3. A2,421385799,4008255,R,Y,Renewed,OT,,,,,,0,,Y,,,0,,,WOOD,,,,,,,,,,X,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/11/2016,609000
Queens,A2,EW,3. A2,421385799,4008255,I,N,Initial Permit,OT,,,,,,0,,Y,,,0,,,WOOD,,,,,,,,,,X,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/11/2016,609000
Queens,A2,EQ,3. A2,421385799,4008255,I,Y,Initial Permit,FN,,,,,,0,,Y,,,0,,,WOOD,,,,,,,,,,X,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/11/2016,609000
Queens,A1,AL,2. A1,421062236,4576020,I,Y,Initial Permit,,,,,SU,GEISLER,0,,Y,,,0,,,WOOD,,,,,,,,,,X,Y,X,,,,,,,GEN. CONSTR.,Yes,Y,10/11/2016,609000
Manhattan,A2,EW,3. A2,122916167,1010421,R,Y,Renewed,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/12/2016,440673
Manhattan,A2,EW,3. A2,122916167,1010421,I,N,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/12/2016,440673
Manhattan,A2,EW,3. A2,122916764,1027008,I,Y,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/12/2016,53409
Manhattan,A2,EW,3. A2,140562013,1040561,I,Y,Initial Permit,OT,MM,ANSARI,MM,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/12/2016,261000
Manhattan,A2,EW,3. A2,140561960,1078884,R,Y,Renewed,OT,MM,PEREZ,MM,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/12/2016,750000
Manhattan,A2,EW,3. A2,140561960,1078884,I,N,Initial Permit,OT,MM,PEREZ,MM,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/12/2016,750000
Manhattan,A2,EW,3. A2,140561274,1085255,I,N,Initial Permit,OT,MM,PEREZ,MM,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/12/2016,750000
Manhattan,A2,EW,3. A2,140561274,1085255,R,Y,Renewed,OT,MM,PEREZ,MM,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/12/2016,750000
Brooklyn,A2,EW,3. A2,321460334,3008192,I,Y,Initial Permit,OT,,,,,,0,,Y,,,0,,,WOOD,,,,,,,X,,,X,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/12/2016,661000
Brooklyn,A2,EQ,3. A2,321460334,3008192,I,Y,Initial Permit,FN,,,,,,0,,Y,,,0,,,WOOD,,,,,,,X,,,X,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/12/2016,661000
Brooklyn,A2,PL,3. A2,321460334,3008192,I,Y,Initial Permit,,,,,,,0,,Y,,,0,,,WOOD,,,,,,,X,,,X,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/12/2016,661000
Manhattan,A2,EQ,3. A2,122915854,1001087,I,Y,Initial Permit,FN,,,,,,0,,Y,,,0,,,PLYWOOD,,,,,,,,,,X,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/13/2016,55000
Manhattan,A2,EW,3. A2,122915854,1001087,I,Y,Initial Permit,OT,MM,WAIVER,MM,,,0,,Y,,,0,,,PLYWOOD,,,,,,,,,,X,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/13/2016,55000
Manhattan,A2,EW,3. A2,122757365,1005822,I,N,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE REPAIR,No,Y,10/13/2016,35000
Manhattan,A2,EW,3. A2,122757365,1005822,R,Y,Renewed,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE REPAIR,No,Y,10/13/2016,35000
Manhattan,A2,EW,3. A2,122876922,1051385,I,Y,Initial Permit,OT,MM,WAIVER,MM,,,0,,,,,0,,,,,,,,,,,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/13/2016,165050
Bronx,A2,EW,3. A2,240160179,2012042,R,Y,Renewed,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/13/2016,66800
Bronx,A2,EW,3. A2,240160179,2012042,I,N,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/13/2016,66800
Brooklyn,A2,PL,3. A2,321457099,3220865,I,Y,Initial Permit,,,,,,,0,,Y,,,0,,,PLYWOOD,,,,,,X,X,,,X,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/13/2016,283400
Brooklyn,A2,EW,3. A2,321457099,3220865,I,N,Initial Permit,OT,,,,,,0,,Y,,,0,,,PLYWOOD,,,,,,X,X,,,X,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/13/2016,283400
Brooklyn,A2,EQ,3. A2,321457099,3220865,I,N,Initial Permit,FN,,,,,,0,,Y,,,0,,,PLYWOOD,,,,,,X,X,,,X,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/13/2016,283400
Brooklyn,A2,EQ,3. A2,321457099,3220865,R,Y,eRenewed,FN,,,,,,0,,Y,,,0,,,PLYWOOD,,,,,,X,X,,,X,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/13/2016,283400
Brooklyn,A2,EW,3. A2,321457099,3220865,R,Y,eRenewed,MH,,,,,,0,,Y,,,0,,,PLYWOOD,,,,,,X,X,,,X,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/13/2016,283400
Brooklyn,A2,EW,3. A2,321457099,3220865,R,Y,eRenewed,OT,,,,,,0,,Y,,,0,,,PLYWOOD,,,,,,X,X,,,X,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/13/2016,283400
Brooklyn,A2,EW,3. A2,321457099,3220865,I,N,Initial Permit,MH,,,,,,0,,Y,,,0,,,PLYWOOD,,,,,,X,X,,,X,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/13/2016,283400
Queens,A2,EW,3. A2,421386681,4155991,I,Y,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/13/2016,46410
Manhattan,A2,EW,3. A2,122911545,1006574,I,Y,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/14/2016,7700
Manhattan,A2,EW,3. A2,122792264,1015420,R,Y,Renewed,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/14/2016,120000
Manhattan,A2,EW,3. A2,122792264,1015420,I,N,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/14/2016,120000
Manhattan,A2,EW,3. A2,122911554,1048081,I,N,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/14/2016,144967
Manhattan,A2,EW,3. A2,122911554,1048081,R,Y,Renewed,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/14/2016,144967
Manhattan,A2,EW,3. A2,122917898,1048711,I,Y,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,STRUCTURAL,No,Y,10/14/2016,90000
Bronx,A2,EW,3. A2,220553960,2084217,I,N,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/14/2016,203300
Bronx,A2,EW,3. A2,220553960,2084217,R,Y,Renewed,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/14/2016,203300
Bronx,A3,AL,4. A3,240160339,2113642,I,Y,Initial Permit,,,,,,,0,,,,,0,,,,,,,,,,,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/14/2016,14700
Brooklyn,A2,EW,3. A2,321379423,3032509,I,Y,Initial Permit,OT,,,,,,0,,Y,,,0,,,PLYWOOD,,,,,,,X,,,X,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/14/2016,17000
Brooklyn,A2,PL,3. A2,321379423,3032509,I,Y,Initial Permit,,,,,,,0,,Y,,,0,,,PLYWOOD,,,,,,,X,,,X,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/14/2016,17000
Brooklyn,A2,EQ,3. A2,321379423,3032509,I,Y,Initial Permit,FN,,,,,,0,,Y,,,0,,,PLYWOOD,,,,,,,X,,,X,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/14/2016,17000
Brooklyn,A1,AL,2. A1,321463297,3058037,I,N,Initial Permit,,MM,LI,MM,,,0,,,,,0,,,,,,,,,X,X,,,,Y,X,,,,,,,GEN. CONSTR.,Yes,Y,10/14/2016,634000
Brooklyn,A1,AL,2. A1,321463297,3058037,R,Y,Renewed,,MM,LI,MM,,,0,,,,,0,,,,,,,,,X,X,,,,Y,X,,,,,,,GEN. CONSTR.,Yes,Y,10/14/2016,634000
Brooklyn,A2,EW,3. A2,340430448,3209903,I,Y,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/14/2016,53182
Queens,A2,PL,3. A2,421374729,4009613,I,Y,Initial Permit,,,,,,,0,,,,,0,,,,,,,,,X,X,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/14/2016,387160
Queens,A2,EW,3. A2,421374729,4009613,I,Y,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,X,X,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/14/2016,387160
Queens,A2,EW,3. A2,421374729,4009613,I,Y,Initial Permit,MH,,,,,,0,,,,,0,,,,,,,,,X,X,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/14/2016,387160
Staten Island,A1,AL,2. A1,520272776,5048389,I,N,Initial Permit,,,,,SU,SUGGS,0,,Y,,,0,,,WOOD,,,,,,,X,,,X,Y,X,,,,,,,GEN. CONSTR.,Yes,Y,10/14/2016,450000
Staten Island,A1,AL,2. A1,520272776,5048389,R,N,Renewed,,,,,SU,SUGGS,0,,Y,,,0,,,WOOD,,,,,,,X,,,X,Y,X,,,,,,,GEN. CONSTR.,Yes,Y,10/14/2016,450000
Staten Island,A1,AL,2. A1,520272776,5048389,R,Y,Renewed,,,,,SU,SUGGS,0,,Y,,,0,,,WOOD,,,,,,,X,,,X,Y,X,,,,,,,GEN. CONSTR.,Yes,Y,10/14/2016,450000
Manhattan,A2,EW,3. A2,122915337,1039465,I,N,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/17/2016,82000
Manhattan,A2,EW,3. A2,122915337,1039465,R,Y,eRenewed,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/17/2016,82000
Manhattan,A2,EW,3. A2,122915328,1039466,R,Y,eRenewed,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/17/2016,82000
Manhattan,A2,EW,3. A2,122915328,1039466,I,N,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/17/2016,82000
Manhattan,A2,EW,3. A2,122920982,1032217,I,Y,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/19/2016,27950
Manhattan,A2,EW,3. A2,122920811,1079987,I,Y,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/19/2016,32140
Brooklyn,A2,PL,3. A2,340434934,3074725,I,Y,Initial Permit,,,,,,,0,,,,,0,,,,,,,,,,X,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/19/2016,81250
Brooklyn,A2,EW,3. A2,340434934,3074725,I,N,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,X,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/19/2016,81250
Brooklyn,A2,EW,3. A2,340434934,3074725,R,Y,eRenewed,OT,,,,,,0,,,,,0,,,,,,,,,,X,,,,Y,X,,,,,,,GEN. CONSTR.,No,Y,10/19/2016,81250
Brooklyn,A2,EW,3. A2,321211121,3141447,I,Y,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/19/2016,43300
Manhattan,A2,EW,3. A2,122717051,1007618,R,Y,Renewed,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/20/2016,97479
Manhattan,A2,EW,3. A2,122717051,1007618,I,N,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/20/2016,97479
Manhattan,A2,EW,3. A2,122922542,1034092,I,Y,Initial Permit,OT,MM,YACONO,MM,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/20/2016,159000
Manhattan,A2,EW,3. A2,122830525,1078637,I,Y,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/20/2016,30410
Bronx,A2,EW,3. A2,220556048,2013582,I,N,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/20/2016,60000
Bronx,A2,EW,3. A2,220556048,2013582,R,Y,Renewed,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/20/2016,60000
Bronx,A2,EW,3. A2,240160936,2051355,I,Y,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/20/2016,55400
Queens,A2,EW,3. A2,440351325,4072034,I,Y,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/20/2016,112750
Queens,A2,EW,3. A2,440355679,4075017,I,Y,Initial Permit,OT,,,,,,0,,,,,0,,,,,,,,,,,,,,,X,,,,,,,FACADE,No,Y,10/20/2016,124180
